STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,18,SNOW DP,,20181001,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181005,184,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181008,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181010,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181014,-0,,INCHES
DAN,D,18,SNOW DP,,20181015,-1,,INCHES
DAN,D,18,SNOW DP,,20181016,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181020,181,,INCHES
DAN,D,18,SNOW DP,,20181021,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181023,-2,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181026,-2,,INCHES
DAN,D,18,SNOW DP,,20181027,181,,INCHES
DAN,D,18,SNOW DP,,20181028,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181030,-1,,INCHES
DAN,D,18,SNOW DP,,20181031,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181103,181,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181105,-1,,INCHES
DAN,D,18,SNOW DP,,20181106,182,,INCHES
DAN,D,18,SNOW DP,,20181107,179,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181109,-1,,INCHES
DAN,D,18,SNOW DP,,20181110,-1,,INCHES
DAN,D,18,SNOW DP,,20181111,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181113,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181115,-1,,INCHES
DAN,D,18,SNOW DP,,20181116,-2,,INCHES
DAN,D,18,SNOW DP,,20181117,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181121,-1,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181124,11,,INCHES
DAN,D,18,SNOW DP,,20181125,11,,INCHES
DAN,D,18,SNOW DP,,20181126,11,,INCHES
DAN,D,18,SNOW DP,,20181127,7,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181203,37,,INCHES
DAN,D,18,SNOW DP,,20181204,35,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181207,32,,INCHES
DAN,D,18,SNOW DP,,20181208,31,,INCHES
DAN,D,18,SNOW DP,,20181209,29,,INCHES
DAN,D,18,SNOW DP,,20181210,29,,INCHES
DAN,D,18,SNOW DP,,20181211,28,,INCHES
DAN,D,18,SNOW DP,,20181212,27,,INCHES
DAN,D,18,SNOW DP,,20181213,25,,INCHES
DAN,D,18,SNOW DP,,20181214,24,,INCHES
DAN,D,18,SNOW DP,,20181215,25,,INCHES
DAN,D,18,SNOW DP,,20181216,25,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181219,26,,INCHES
DAN,D,18,SNOW DP,,20181220,26,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181222,27,,INCHES
DAN,D,18,SNOW DP,,20181223,25,,INCHES
DAN,D,18,SNOW DP,,20181224,27,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20181226,30,,INCHES
DAN,D,18,SNOW DP,,20181227,29,,INCHES
DAN,D,18,SNOW DP,,20181228,29,,INCHES
DAN,D,18,SNOW DP,,20181229,28,,INCHES
DAN,D,18,SNOW DP,,20181230,28,,INCHES
DAN,D,18,SNOW DP,,20181231,28,,INCHES
DAN,D,18,SNOW DP,,20190101,27,,INCHES
DAN,D,18,SNOW DP,,20190102,27,,INCHES
DAN,D,18,SNOW DP,,20190103,26,,INCHES
DAN,D,18,SNOW DP,,20190104,26,,INCHES
DAN,D,18,SNOW DP,,20190105,26,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190107,52,,INCHES
DAN,D,18,SNOW DP,,20190108,48,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190112,44,,INCHES
DAN,D,18,SNOW DP,,20190113,43,,INCHES
DAN,D,18,SNOW DP,,20190114,42,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190116,48,,INCHES
DAN,D,18,SNOW DP,,20190117,57,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190119,55,,INCHES
DAN,D,18,SNOW DP,,20190120,51,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190122,62,,INCHES
DAN,D,18,SNOW DP,,20190123,59,,INCHES
DAN,D,18,SNOW DP,,20190124,57,,INCHES
DAN,D,18,SNOW DP,,20190125,56,,INCHES
DAN,D,18,SNOW DP,,20190126,54,,INCHES
