x,y,h_mean
681370.1629,5359117.382,2064.199461
681367.5124,5359137.207,2054.374982
681364.863,5359157.068,2046.90207
681362.1997,5359176.928,2041.548979
681359.5353,5359196.788,2039.899003
681356.8916,5359216.65,2040.743366
681354.2598,5359236.514,2042.495436
681352.0989,5359253.068,2044.837872
681316.1903,5359534.655,2030.964778
681017.1899,5361819.477,1585.341532
681012.4387,5361856.183,1583.86299
680997.1382,5361978.517,1612.924374
680994.6266,5361998.397,1614.514475
680992.1115,5362018.276,1616.44298
680837.3471,5363230.718,1907.684163
683725.9879,5365886.523,1161.175351
683705.0863,5366045.448,1141.67379
683538.7249,5367335.883,932.9198367
683536.0373,5367355.989,934.4334032
683533.2502,5367376.855,936.0861231
683530.6113,5367396.717,937.3805791
686505.8523,5369355.128,2039.347761
686468.5484,5369654.631,1931.942803
683156.4329,5370298.022,1958.705723
683153.8578,5370317.892,1961.699765
679979.6086,5369826.672,1043.973785
679976.9473,5369847.423,1044.334619
686307.6177,5370906.586,1863.524748
679964.2133,5369946.797,1055.724774
686294.5765,5371005.913,1860.598935
679961.6615,5369966.671,1057.642273
686291.9557,5371025.777,1862.387926
679959.108,5369986.545,1059.518067
686289.3287,5371045.64,1865.874853
679956.555,5370006.419,1061.734692
679954.0016,5370026.292,1064.102138
679951.4483,5370046.166,1066.68455
679948.8938,5370066.04,1069.482999
679946.3372,5370085.913,1072.491484
679943.7759,5370105.786,1075.489545
679941.2126,5370125.659,1078.932237
686250.409,5371343.646,1919.721159
686247.7537,5371363.506,1923.225891
686223.8443,5371542.238,1968.942794
686140.4509,5372177.937,2260.967045
686137.9069,5372197.812,2265.22848
682809.8597,5372980.651,2214.507462
682792.3548,5373119.81,2247.742952
682789.8274,5373139.687,2243.803082
682782.1387,5373199.302,2233.893436
682779.5425,5373219.17,2234.531702
682776.9247,5373239.034,2236.532181
682771.6535,5373278.759,2237.607476
682769.0134,5373298.621,2238.481356
682919.8444,5372813.026,2220.541699
682873.4063,5373170.679,2229.52403
682870.8144,5373190.547,2229.273155
682868.2318,5373210.417,2228.621249
682865.6577,5373230.287,2229.179252
715101.8304,5348051.92,468.5179461
715099.0421,5348071.726,475.9039633
715096.3168,5348091.577,478.3913782
715093.7834,5348110.36,478.1309243
715091.0311,5348130.868,477.7557711
715088.3021,5348151.152,478.4112979
715085.6615,5348171.014,478.5922695
715083.108,5348190.888,475.2743336
715080.5586,5348210.763,472.4048227
715077.9934,5348230.635,470.5188352
714982.4741,5348945.62,421.0344924
714979.8341,5348965.483,419.345929
714977.1548,5348985.34,419.5553419
714974.4589,5349005.196,420.0267952
714968.9961,5349044.896,420.9813119
714966.2457,5349064.743,420.9968788
714963.4872,5349084.592,420.9728827
714960.7929,5349103.906,421.063605
714957.9926,5349123.966,421.260818
714955.1833,5349144.127,421.2610811
714952.423,5349163.973,421.2300973
714949.6708,5349183.821,421.3039145
714946.9284,5349203.67,421.3098092
714944.1981,5349223.521,421.3243107
714941.4788,5349243.372,421.3534475
714936.0668,5349283.079,421.7901125
714933.3743,5349302.936,421.9865995
714930.7963,5349322.124,422.285527
714928.084,5349342.293,422.4919808
714925.3637,5349362.511,422.629902
714917.2758,5349422.076,423.0770869
714914.5482,5349441.926,423.1453743
714911.7887,5349461.773,423.2479457
714909.0212,5349481.619,423.2471054
714906.2564,5349501.465,423.2686839
714903.4997,5349521.312,423.3450741
714900.7601,5349541.161,423.4791321
714892.6917,5349600.729,423.360877
714876.9786,5349719.919,413.3374287
714874.2841,5349739.775,411.7065443
714871.5845,5349759.313,411.3246906
714868.8208,5349779.18,411.3025272
714860.185,5349838.969,427.7852012
714857.3257,5349858.802,432.6824402
714854.4801,5349878.637,436.9519294
714845.8816,5349938.134,459.8087197
714821.0939,5350116.761,503.5731019
714818.2519,5350136.597,511.5324495
714815.3762,5350156.428,519.49436
714812.4698,5350176.255,527.0210589
714803.7065,5350235.73,550.3937558
714797.8475,5350275.378,569.7545347
714792.0309,5350315.032,592.5192794
714789.2096,5350334.871,599.3296415
714783.8932,5350372.545,609.6181006
714780.9541,5350393.576,612.8186463
714778.0687,5350414.243,615.2288731
714775.2813,5350434.086,616.9402355
714772.47,5350453.926,619.0728153
714769.6197,5350473.761,623.3769375
714766.7361,5350493.591,629.75374
714763.8347,5350513.419,637.2921045
714760.9064,5350533.243,646.8639007
715172.1144,5348142.076,476.2527282
714757.9869,5350553.068,656.1234309
714755.0951,5350572.897,664.2497325
714752.2059,5350592.727,673.0010395
714749.3114,5350612.556,682.3643102
714746.4174,5350632.384,691.8314335
714743.5097,5350652.212,702.2849422
714740.6039,5350672.039,712.5091539
714737.705,5350691.867,722.1183372
714734.8188,5350711.697,730.3169279
714729.1803,5350751.374,735.7980217
714726.3956,5350771.217,736.1540802
714723.6059,5350791.06,737.0173939
714720.7933,5350810.9,739.8190106
714709.558,5350890.259,754.0824112
714703.9931,5350929.947,758.9556315
714701.179,5350949.786,763.7018077
714698.3465,5350969.623,769.7083881
714695.5039,5350989.458,776.2034378
714692.6532,5351009.293,783.0280443
714689.8042,5351029.128,789.3746005
714686.9471,5351048.961,796.023048
714684.3739,5351066.563,804.2241455
714681.2589,5351087.976,812.578211
714678.3051,5351108.228,820.7430267
714675.379,5351128.278,828.4960405
714672.4866,5351148.107,835.4953683
714669.5959,5351167.936,842.332274
714666.7069,5351187.765,849.1457862
714663.8209,5351207.595,855.9571208
714660.9398,5351227.425,862.6737881
714658.0557,5351247.255,869.797099
714655.165,5351267.085,878.4538417
714652.2681,5351286.913,888.343754
714649.3698,5351306.741,898.2288911
714646.4978,5351326.574,905.8353473
714635.8551,5351406.012,868.4470173
714633.2057,5351425.873,855.0407068
714627.8967,5351465.593,830.8441699
715029.0794,5349174.16,421.2491431
715026.3142,5349194.005,421.5384689
714575.5973,5351862.906,658.267692
714564.5032,5351942.286,656.4829284
714561.6477,5351962.12,659.9729517
714558.7617,5351981.95,663.613361
714555.8432,5352001.775,667.8229014
714552.9232,5352021.6,672.345746
714549.9976,5352041.424,677.9005223
714547.0614,5352061.247,685.2366913
714544.1265,5352081.071,693.785929
714541.2158,5352100.897,702.068926
714535.5593,5352140.572,716.4502953
714532.7388,5352160.411,724.7601464
714529.9009,5352180.247,734.0407509
714527.0571,5352200.082,742.9194578
714524.2015,5352219.917,751.3315387
714521.3338,5352239.749,759.2491427
714518.4308,5352259.576,765.569695
714515.4946,5352279.399,771.7783887
714509.6149,5352319.045,785.2425143
714506.6935,5352338.87,791.6581469
714503.9731,5352358.166,792.5392068
714498.6385,5352396.808,793.362422
714495.927,5352417.516,790.5030002
714490.8087,5352457.116,782.3888098
714488.7329,5352473.495,775.8310747
714485.6596,5352497.781,764.860957
714483.1151,5352517.655,755.5441558
714480.5602,5352537.529,744.2219957
714477.8521,5352557.382,738.5437197
714475.1254,5352577.233,733.3936057
714472.3733,5352597.081,728.3202282
714469.6264,5352616.929,722.3617109
714466.9134,5352636.782,713.6649573
714464.196,5352656.634,705.4289582
714461.4848,5352676.487,697.8190973
714458.8862,5352696.354,684.6765626
714456.3002,5352716.224,670.9789833
714866.8764,5350324.977,551.3911543
714453.5739,5352736.074,668.1434115
714863.9836,5350344.805,559.2939903
714450.8062,5352755.919,668.6118745
