x,y,z
-120.5514889,48.35915778,2064.199461
-120.5515161,48.35933674,2054.374982
-120.5515433,48.35951602,2046.90207
-120.5515706,48.3596953,2041.548979
-120.551598,48.35987457,2039.899003
-120.5516251,48.36005386,2040.743366
-120.551652,48.36023316,2042.495436
-120.5516741,48.36038257,2044.837872
-120.552037,48.3629239,2030.964778
-120.5550864,48.3835466,1585.341532
-120.5551347,48.38387789,1583.86299
-120.5552885,48.38498187,1612.924374
-120.5553138,48.38516127,1614.514475
-120.5553392,48.38534067,1616.44298
-120.5569057,48.39628296,1907.684163
-120.5167557,48.41931862,1161.175351
-120.5169683,48.42075314,1141.67379
-120.5186498,48.43240015,932.9198367
-120.5186773,48.43258165,934.4334032
-120.5187058,48.43277,936.0861231
-120.5187328,48.43294929,937.3805791
-120.4776769,48.44967703,2039.347761
-120.4780475,48.45237995,1931.942803
-120.5225178,48.45913535,1958.705723
-120.5225439,48.4593147,1961.699765
-120.5656514,48.4558154,1043.973785
-120.5656784,48.45600268,1044.334619
-120.4796646,48.46367987,1863.524748
-120.5658077,48.45689952,1055.724774
-120.4797966,48.46457646,1860.598935
-120.5658337,48.45707889,1057.642273
-120.4798232,48.46475576,1862.387926
-120.5658596,48.45725825,1059.518067
-120.4798499,48.46493506,1865.874853
-120.5658856,48.45743761,1061.734692
-120.5659116,48.45761698,1064.102138
-120.5659375,48.45779634,1066.68455
-120.5659635,48.4579757,1069.482999
-120.5659895,48.45815506,1072.491484
-120.5660156,48.45833442,1075.489545
-120.5660417,48.45851377,1078.932237
-120.4802432,48.46762499,1919.721159
-120.4802702,48.46780427,1923.225891
-120.4805138,48.46941774,1968.942794
-120.481358,48.47515593,2260.967045
-120.4813835,48.47533531,2265.22848
-120.5260286,48.48334775,2214.507462
-120.5262044,48.48460361,2247.742952
-120.5262299,48.48478299,2243.803082
-120.5263078,48.48532105,2233.893436
-120.5263342,48.48550038,2234.531702
-120.5263609,48.48567968,2236.532181
-120.5264148,48.48603827,2237.607476
-120.5264418,48.48621755,2238.481356
-120.524615,48.48180914,2220.541699
-120.5250864,48.48503725,2229.52403
-120.5251127,48.48521658,2229.273155
-120.5251389,48.48539591,2228.621249
-120.525165,48.48557526,2229.179252
-120.1023061,48.24914531,468.5179461
-120.1023335,48.24932422,475.9039633
-120.1023601,48.24950351,478.3913782
-120.1023846,48.24967314,478.1309243
-120.1024112,48.24985834,477.7557711
-120.1024377,48.25004153,478.4112979
-120.1024631,48.25022089,478.5922695
-120.1024873,48.25040033,475.2743336
-120.1025115,48.25057977,472.4048227
-120.102536,48.2507592,470.5188352
-120.1034579,48.25721595,421.0344924
-120.1034834,48.25739532,419.345929
-120.1035093,48.25757464,419.5553419
-120.1035355,48.25775397,420.0267952
-120.1035888,48.25811254,420.9813119
-120.1036158,48.25829181,420.9968788
-120.1036428,48.25847108,420.9728827
-120.1036693,48.25864554,421.063605
-120.1036967,48.25882674,421.260818
-120.1037243,48.25900884,421.2610811
-120.1037514,48.2591881,421.2300973
-120.1037783,48.25936737,421.3039145
-120.1038051,48.25954665,421.3098092
-120.1038318,48.25972594,421.3243107
-120.1038583,48.25990524,421.3534475
-120.103911,48.26026385,421.7901125
-120.1039371,48.26044318,421.9865995
-120.103962,48.26061646,422.285527
-120.1039883,48.26079861,422.4919808
-120.1040146,48.2609812,422.629902
-120.1040932,48.26151915,423.0770869
-120.1041198,48.26169843,423.1453743
-120.1041469,48.2618777,423.2479457
-120.104174,48.26205696,423.2471054
-120.1042012,48.26223622,423.2686839
-120.1042282,48.26241548,423.3450741
-120.104255,48.26259476,423.4791321
-120.1043333,48.26313273,423.360877
-120.1044842,48.26420902,413.3374287
-120.1045104,48.26438834,411.7065443
-120.1045368,48.26456481,411.3246906
-120.1045639,48.26474426,411.3025272
-120.1046497,48.2652844,427.7852012
-120.1046781,48.26546358,432.6824402
-120.1047064,48.26564277,436.9519294
-120.1047919,48.26618028,459.8087197
-120.1050347,48.2677937,503.5731019
-120.1050629,48.26797289,511.5324495
-120.1050915,48.26815205,519.49436
-120.1051206,48.26833119,527.0210589
-120.1052083,48.26886856,550.3937558
-120.105267,48.2692268,569.7545347
-120.1053252,48.26958507,592.5192794
-120.1053531,48.26976428,599.3296415
-120.1054055,48.2701046,609.6181006
-120.1054344,48.27029456,612.8186463
-120.1054627,48.27048125,615.2288731
-120.1054901,48.27066049,616.9402355
-120.1055179,48.27083971,619.0728153
-120.1055462,48.27101889,623.3769375
-120.1055749,48.27119805,629.75374
-120.1056039,48.27137719,637.2921045
-120.1056333,48.27155631,646.8639007
-120.1013147,48.24993154,476.2527282
-120.1056625,48.27173544,656.1234309
-120.1056913,48.27191458,664.2497325
-120.1057202,48.27209374,673.0010395
-120.105749,48.27227288,682.3643102
-120.1057779,48.27245203,691.8314335
-120.105807,48.27263117,702.2849422
-120.105836,48.27281031,712.5091539
-120.105865,48.27298945,722.1183372
-120.1058938,48.27316861,730.3169279
-120.1059495,48.27352703,735.7980217
-120.1059769,48.27370627,736.1540802
-120.1060044,48.27388551,737.0173939
-120.1060322,48.27406473,739.8190106
-120.1061431,48.2747816,754.0824112
-120.1061978,48.27514009,758.9556315
-120.1062256,48.27531931,763.7018077
-120.1062537,48.27549851,769.7083881
-120.1062819,48.2756777,776.2034378
-120.1063102,48.27585688,783.0280443
-120.1063385,48.27603607,789.3746005
-120.1063668,48.27621525,796.023048
-120.1063925,48.27637427,804.2241455
-120.1064236,48.27656773,812.578211
-120.1064531,48.2767507,820.7430267
-120.1064823,48.27693185,828.4960405
-120.1065111,48.277111,835.4953683
-120.10654,48.27729015,842.332274
-120.1065688,48.2774693,849.1457862
-120.1065976,48.27764845,855.9571208
-120.1066263,48.27782761,862.6737881
-120.1066551,48.27800677,869.797099
-120.1066839,48.27818592,878.4538417
-120.1067128,48.27836506,888.343754
-120.1067418,48.27854421,898.2288911
-120.1067704,48.27872338,905.8353473
-120.1068733,48.27944076,868.4470173
-120.1068989,48.27962012,855.0407068
-120.1069502,48.27997881,830.8441699
-120.1027147,48.25925363,421.2491431
-120.1027418,48.25943288,421.5384689
-120.1074525,48.2835665,658.267692
-120.1075615,48.28428351,656.4829284
-120.1075899,48.28446268,659.9729517
-120.1076187,48.28464184,663.613361
-120.1076479,48.28482096,667.8229014
-120.1076772,48.28500009,672.345746
-120.1077065,48.28517921,677.9005223
-120.1077359,48.28535832,685.2366913
-120.1077654,48.28553743,693.785929
-120.1077945,48.28571656,702.068926
-120.1078505,48.28607497,716.4502953
-120.1078784,48.28625418,724.7601464
-120.1079066,48.28643338,734.0407509
-120.1079348,48.28661257,742.9194578
-120.1079631,48.28679175,751.3315387
-120.1079917,48.28697092,759.2491427
-120.1080207,48.28715005,765.569695
-120.1080502,48.28732916,771.7783887
-120.1081092,48.28768738,785.2425143
-120.1081385,48.28786651,791.6581469
-120.1081653,48.28804081,792.5392068
-120.1082175,48.28838982,793.362422
-120.1082435,48.28857681,790.5030002
-120.1082923,48.28893436,782.3888098
-120.1083119,48.28908223,775.8310747
-120.108341,48.28930149,764.860957
-120.1083652,48.28948093,755.5441558
-120.1083895,48.28966036,744.2219957
-120.1084158,48.28983967,738.5437197
-120.1084425,48.29001896,733.3936057
-120.1084695,48.29019823,728.3202282
-120.1084964,48.2903775,722.3617109
-120.1085228,48.2905568,713.6649573
-120.1085493,48.2907361,705.4289582
-120.1085757,48.2909154,697.8190973
-120.1086007,48.29109479,684.6765626
-120.1086254,48.29127421,670.9789833
-120.1043128,48.26964904,551.3911543
-120.108652,48.29145349,668.1434115
-120.1043417,48.26982819,559.2939903
-120.1086792,48.29163274,668.6118745
-120.1087325,48.29199132,664.1963746
-120.1087586,48.29217065,658.9091445
-120.1087854,48.29234993,656.5273861
-120.1088401,48.29270841,657.6505874
-120.1088674,48.29288766,658.611112
-120.108895,48.29306689,661.3475201
-120.1089227,48.29324611,665.4252198
-120.1089504,48.29342533,670.1781107
-120.104653,48.27179922,637.6730191
-120.1089779,48.29360457,674.9852171
-120.1046819,48.27197837,648.7382712
-120.109005,48.29378382,678.9661959
-120.104711,48.27215749,661.0869642
-120.1090321,48.29396309,682.715369
-120.1047393,48.27233668,669.477155
-120.1090592,48.29414234,687.1084411
-120.1090868,48.29432158,693.9019602
-120.1091142,48.29450081,700.1504705
-120.1091413,48.29468007,704.3649005
-120.1091688,48.29485931,709.7723924
-120.109197,48.2950385,719.1117012
-120.1092254,48.29521768,728.6794979
-120.1092538,48.29539686,737.7835523
-120.1092822,48.29557604,746.8466416
-120.1093105,48.29575522,754.7634976
-120.1093384,48.29593443,760.095196
-120.1093661,48.29611365,764.1359927
-120.1093936,48.29629289,766.6282436
-120.1094213,48.29647211,770.4812241
-120.1094496,48.2966513,777.6724225
-120.1095574,48.29736837,778.8156586
-120.1052668,48.27574183,761.7733465
-120.1095842,48.29754766,778.860766
-120.1052949,48.27592103,767.6703752
-120.1096108,48.29772694,779.0014743
-120.1053228,48.27610024,773.793401
-120.1096377,48.29790622,780.7225295
