,time,distance,dh_fit_dx,gt,spot,w_surface_window_final,h_mean,dh_fit_dy,n_fit_photons,pflags,cycle,h_sigma,rgt,rms_misfit,delta_time,segment_id,doy,decyear,dowy,x,y,geometry
2651,2019-07-11T10:32:34.456001,5393364.296020083,-0.11481805025603475,30,3,3.3231574656787446,545.6996841964454,0.0,38,0,4,0.06776920967114211,204,0.4132418246027941,48076354.45625637,268965,192,2019.5244911991376,284,708923.7164367804,5369870.790893535,POINT (708923.7164367804 5369870.790893535)
2666,2019-07-11T10:32:34.464001,5393424.405632404,0.1123680456479268,30,3,3.0,548.401161257132,0.0,38,4,4,0.1549849722197561,204,0.6684410670122859,48076354.4644126,268968,192,2019.5244911993912,284,708916.184998596,5369928.355720912,POINT (708916.184998596 5369928.355720912)
2672,2019-07-11T10:32:34.467999,5393444.44216945,0.06319791588584422,30,3,3.0,549.9938293056434,0.0,41,0,4,0.057495657485263404,204,0.3681222491859168,48076354.46751699,268969,192,2019.524491199518,284,708913.304748927,5369950.261205062,POINT (708913.304748927 5369950.261205062)
2678,2019-07-11T10:32:34.470001,5393464.478706302,0.02661182534751072,30,3,3.0,550.8905090910023,0.0,44,0,4,0.039265325368862625,204,0.25975310986633443,48076354.47032972,268970,192,2019.5244911995815,284,708910.7026474889,5369970.128946913,POINT (708910.7026474889 5369970.128946913)
2684,2019-07-11T10:32:34.473000,5393484.515242957,-0.03359666737602662,30,3,3.0,550.9205520539901,0.0,29,0,4,0.06226816155292077,204,0.3343305938010556,48076354.4731387,268971,192,2019.5244911996765,284,708908.1177588765,5369989.998956371,POINT (708908.1177588765 5369989.998956371)
2690,2019-07-11T10:32:34.476002,5393504.5517794145,-0.10211114904423968,30,3,3.0,549.4873274391673,0.0,31,0,4,0.05910713626187897,204,0.2936695077611562,48076354.47594237,268972,192,2019.5244911997718,284,708905.5557702588,5370009.87192083,POINT (708905.5557702588 5370009.87192083)
2696,2019-07-11T10:32:34.479000,5393524.588315677,0.02306744533711047,30,3,3.0,547.9272740327676,0.0,53,4,4,0.07774556533810673,204,0.5422942531914642,48076354.47874545,268973,192,2019.5244911998668,284,708903.0117318004,5370029.747065156,POINT (708903.0117318004 5370029.747065156)
2702,2019-07-11T10:32:34.481998,5393544.624851742,0.1613570662461088,30,3,4.1598079064781635,550.1613757722083,0.0,53,0,4,0.0603118915824364,204,0.4183379694193955,48076354.481562465,268974,192,2019.5244911999619,284,708900.4850287092,5370049.624800535,POINT (708900.4850287092 5370049.624800535)
2704,2019-07-11T10:32:34.481998,5393424.405632404,0.15127974644893216,10,5,3.905811367856762,850.8996726922655,0.0,84,0,4,0.03242255207755961,204,0.29223484152978874,48076354.48233154,268968,192,2019.5244911999619,284,705725.1331330804,5369507.666642442,POINT (705725.1331330804 5369507.666642442)
2708,2019-07-11T10:32:34.484001,5393564.661387613,0.23352730711550906,30,3,5.986268601188817,554.1611591505015,0.0,45,0,4,0.06656406575825731,204,0.44580183026533377,48076354.484387465,268975,192,2019.5244912000253,284,708897.9564002136,5370069.502167159,POINT (708897.9564002136 5370069.502167159)
2710,2019-07-11T10:32:34.485001,5393444.44216945,0.12687493804659944,10,5,3.292607280784134,853.6513112293677,0.0,104,0,4,0.027532353213100796,204,0.27670093361925485,48076354.48516406,268969,192,2019.5244912000571,284,705722.5095559533,5369527.532181864,POINT (705722.5095559533 5369527.532181864)
2715,2019-07-11T10:32:34.487000,5393584.697923286,0.20636657892967003,30,3,5.297766503994501,558.5038844872302,0.0,49,0,4,0.06552204437833153,204,0.45670784324840036,48076354.48721655,268976,192,2019.5244912001206,284,708895.4286000202,5370089.379588869,POINT (708895.4286000202 5370089.379588869)
2716,2019-07-11T10:32:34.487999,5393464.478706302,0.10639239923507549,10,5,3.0,855.9446328722396,0.0,82,0,4,0.02957878589919253,204,0.2672215746969565,48076354.48799611,268970,192,2019.5244912001522,284,705719.8939618763,5369547.398674342,POINT (705719.8939618763 5369547.398674342)
2720,2019-07-11T10:32:34.490002,5393604.734458762,0.14776886783364573,30,3,3.8174140147883717,561.986788246517,0.0,54,0,4,0.0683306823287887,204,0.49071029836340707,48076354.4900453,268977,192,2019.5244912002156,284,708892.9023710089,5370109.257518298,POINT (708892.9023710089 5370109.257518298)
2721,2019-07-11T10:32:34.491001,5393484.515242957,0.060306541683919246,10,5,3.0,857.5609308319084,0.0,60,0,4,0.04319093694865952,204,0.3255889252899489,48076354.49082608,268971,192,2019.5244912002474,284,705717.2938528308,5369567.267255878,POINT (705717.2938528308 5369567.267255878)
