x,y,h_mean
708923.7164,5369870.791,545.6996842
708916.185,5369928.356,548.4011613
708913.3047,5369950.261,549.9938293
708910.7026,5369970.129,550.8905091
708908.1178,5369989.999,550.9205521
708905.5558,5370009.872,549.4873274
708903.0117,5370029.747,547.927274
708900.485,5370049.625,550.1613758
705725.1331,5369507.667,850.8996727
708897.9564,5370069.502,554.1611592
705722.5096,5369527.532,853.6513112
708895.4286,5370089.38,558.5038845
705719.894,5369547.399,855.9446329
708892.9024,5370109.258,561.9867882
705717.2939,5369567.267,857.5609308
708890.3768,5370129.135,564.1444513
705714.7172,5369587.139,858.2527544
708887.8478,5370149.013,564.881816
705712.16,5369607.013,858.6283385
708885.2964,5370168.887,565.657692
705709.6544,5369626.894,860.2719619
708882.7165,5370188.757,565.8194534
705707.2042,5369646.783,863.4661335
708880.1213,5370208.626,565.3641306
705704.8286,5369666.174,866.450089
708877.5192,5370228.494,564.7526633
705702.4116,5369685.806,870.5774556
708874.9204,5370248.362,563.0674223
705699.848,5369706.448,875.8732991
708872.3369,5370268.232,559.8566187
705697.3389,5369726.328,881.0007342
708869.748,5370288.101,557.8201199
705694.7987,5369746.205,886.0710726
708867.1433,5370307.968,560.2976099
705692.1825,5369766.071,890.3968875
708864.6928,5370326.849,563.0469263
705689.4772,5369785.926,894.232462
705686.7413,5369805.777,898.520617
708859.5145,5370367.191,566.7089353
705684.0005,5369825.627,903.1207739
708856.9559,5370387.288,567.2340717
705681.64,5369842.805,906.5508142
708854.4127,5370407.344,566.9413663
705678.7304,5369864.313,911.651756
708851.9029,5370427.224,565.5184439
705675.9949,5369884.792,916.5386245
708849.3876,5370447.103,564.4088519
705673.363,5369905.07,921.048983
708846.8565,5370466.98,564.6372057
705670.8798,5369924.954,925.1059831
708844.3123,5370486.855,565.6775198
705668.4563,5369944.846,928.7914664
708841.7697,5370506.731,566.5381183
705666.0567,5369964.741,931.9063545
705663.6915,5369984.486,934.0471294
708836.7588,5370546.03,567.1066204
705661.2983,5370004.425,935.9180101
708834.1943,5370566.215,566.6542305
705658.8861,5370024.43,937.2784438
708831.6532,5370586.24,566.3129047
705656.4444,5370044.32,937.4661126
708829.1397,5370606.119,566.4361606
705653.9445,5370064.202,935.8396414
708826.6324,5370626,566.8588907
705651.4081,5370084.078,932.4372175
708824.1205,5370645.879,567.1539622
705648.8369,5370103.951,927.6556447
708821.6026,5370665.758,566.8191988
705646.2507,5370123.821,924.1546734
708819.0724,5370685.635,566.5049431
705643.6524,5370143.69,923.5106771
708816.5283,5370705.511,566.6142776
705641.0447,5370163.558,928.3730127
708814.0169,5370725.036,565.8791772
705638.4343,5370183.425,934.6816152
708811.4126,5370745.015,565.5769905
705635.9541,5370202.474,937.2816354
708808.7812,5370765.121,564.2246484
705633.3275,5370222.674,938.3116869
708806.1849,5370784.99,561.7148348
705630.6848,5370243.038,937.4815329
708803.5938,5370804.859,558.764009
705628.1129,5370262.91,934.4500359
708801.009,5370824.729,556.3945704
705625.5486,5370282.783,929.8368961
708798.4338,5370844.6,554.3634658
705622.9899,5370302.657,923.9341685
708795.8695,5370864.472,552.824868
705620.4374,5370322.532,916.6590514
708793.3426,5370884.35,550.3700572
705617.8897,5370342.407,909.1599506
708790.8474,5370904.232,548.3785941
705615.3467,5370362.284,901.7739813
708788.3507,5370924.114,548.3828026
705612.8086,5370382.16,894.8858489
708785.8577,5370943.996,548.8556493
705610.2771,5370402.038,889.2581371
708783.3701,5370963.878,549.4719643
705607.7488,5370421.916,884.0246852
708780.8864,5370983.762,549.4085131
705605.2234,5370441.794,878.7741955
705602.7003,5370461.673,874.0697962
705600.1772,5370481.552,869.5286028
705597.6521,5370501.43,863.0384487
708770.8687,5371063.284,546.4352668
705595.2109,5370520.632,855.533295
708768.3363,5371083.161,545.0756391
705592.6481,5370540.773,848.5995546
708765.7808,5371103.034,544.6678833
705590.0644,5370561.064,841.461499
708763.2151,5371122.907,544.3116325
705587.5274,5370580.941,834.9962771
708760.6387,5371142.778,544.0344609
705584.9863,5370600.817,830.0078737
708758.0477,5371162.647,544.1656317
705582.4409,5370620.693,826.3604419
708755.4371,5371182.513,545.2972713
705579.8905,5370640.568,821.5268784
708752.8292,5371202.381,545.8118215
705577.3296,5370660.442,814.3475483
708750.2301,5371222.249,545.2545661
705574.7494,5370680.313,805.1701652
708747.6412,5371242.118,544.0644063
705572.1619,5370700.183,794.4604031
708745.0631,5371261.989,542.6369453
705569.5575,5370720.051,780.2941386
708742.4887,5371281.86,541.4219335
708739.9254,5371301.733,540.8256948
708737.3863,5371321.609,540.8207765
708734.8489,5371341.485,540.9060821
708732.3065,5371361.36,540.9560643
705556.3742,5370819.369,737.8564742
708729.7548,5371381.235,541.1124464
705553.7371,5370839.233,744.1060869
708727.2745,5371400.424,541.1968596
705551.1109,5370859.098,752.6169216
708724.68,5371420.397,541.1444117
705548.4904,5370878.964,760.4889781
708721.9974,5371440.844,541.153242
705545.8902,5370898.833,763.409054
705543.3056,5370918.703,763.8376815
705540.7379,5370938.576,762.9858393
708714.0712,5371500.232,541.5775126
705538.1827,5370958.451,762.2083533
708711.4025,5371520.29,542.2424577
