,Pair 1,,,Pair 2,,,Pair 3,,,Pair 4,,,Pair 5,,,Pair 6,,,Pair 7,,,Pair 8,,,All Pairs,,
,ATL06SR,ASO Track,ASO Basin,ATL06SR,ASO Track,ASO Basin,ATL06SR,ASO Track,ASO Basin,ATL06SR,ASO Track,ASO Basin,ATL06SR,ASO Track,ASO Basin,ATL06SR,ASO Track,ASO Basin,ATL06SR,ASO Track,ASO Basin,ATL06SR,ASO Track,ASO Basin,ATL06SR,ASO Track,ASO Basin
Acquisition Date,3/12/19,3/24/19,,4/10/19,4/17/19,,5/14/19,5/3/19,,4/7/20,4/13/20,,6/8/20,5/22/20,,2/8/21,2/25/21,,2/6/22,2/4/22,,4/3/22,4/5/22,,Median,,
Date Offset ATL06 - ASO,12,,,7,,,11,,,6,,,17,,,17,,,2,,,2,,,9,,
Median Depth (m),2.83,2.98,2.84,2.45,2.56,2.54,1.6,2.04,1.72,1.3,1.02,0.98,0.04,0,0.01,0.85,1.07,1.05,0.89,1.12,1.04,0.59,0.59,0.51,1.09,1.04,1.04
Difference Between Medians,,0.16,-0.01,,0.11,-0.09,,-0.44,-0.12,,-0.28,0.31,,0.04,0.03,0.22,-0.2,,,-0.23,-0.15,,0,0.08,,0.19,0.11
% Difference Between Medians,,5,0,,4,-4,,-22,-7,,-27,32,,inf,281,,21,-19,,-21,-15,,0,16,,21,15
IQR (m),2.91,2.6,1.71,1.25,1.02,1.89,1.78,1.15,1.99,1.42,0.84,1.18,1.31,0.3,0.34,1.18,0.37,0.71,1.52,0.52,0.67,0.79,0.45,0.79,0.68,0.6,0.99
% Difference Between IQRs,,-12,70,,-22,-34,,55,-11,,-69,20,,340,289,,-219,67,,191,127,,-75,0,,72,50
delta TUM (m),-0.2,,,-0.15,,,-0.64,,,-0.25,,,0.03,,,-0.03,,,-0.03,,,-0.08,,,0.11,,
delta DAN (m),-0.15,,,NaN,,,-0.33,,,NaN,,,0,,,0.2,,,0,,,-0.05,,,0.1,,
% Difference Between Medians Within TUM  Radius,NaN,,,3,,,-36,,,-18 .5,,,NaN,,,23,,,-19,,,-13,,,,,
% Difference Between IQRs within TUM  Radius,NaN,,,-20,,,46,,,-42,,,NaN,,,-171,,,187,,,-120,,,,,
Basin IQR  Difference,1.19,,,-0.64,,,-0.21,,,0.24,,,0.98,,,"0.47	",,,0.85,,,0,,,,0.56,
