STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TUM,D,18,SNOW DP,,20181001,1,,INCHES
TUM,D,18,SNOW DP,,20181002,0,,INCHES
TUM,D,18,SNOW DP,,20181003,1,,INCHES
TUM,D,18,SNOW DP,,20181004,1,,INCHES
TUM,D,18,SNOW DP,,20181005,1,,INCHES
TUM,D,18,SNOW DP,,20181006,1,,INCHES
TUM,D,18,SNOW DP,,20181007,1,,INCHES
TUM,D,18,SNOW DP,,20181008,-1,,INCHES
TUM,D,18,SNOW DP,,20181009,-1,,INCHES
TUM,D,18,SNOW DP,,20181010,0,,INCHES
TUM,D,18,SNOW DP,,20181011,-0,,INCHES
TUM,D,18,SNOW DP,,20181012,-0,,INCHES
TUM,D,18,SNOW DP,,20181013,-1,,INCHES
TUM,D,18,SNOW DP,,20181014,0,,INCHES
TUM,D,18,SNOW DP,,20181015,0,,INCHES
TUM,D,18,SNOW DP,,20181016,1,,INCHES
TUM,D,18,SNOW DP,,20181017,-0,,INCHES
TUM,D,18,SNOW DP,,20181018,-0,,INCHES
TUM,D,18,SNOW DP,,20181019,0,,INCHES
TUM,D,18,SNOW DP,,20181020,0,,INCHES
TUM,D,18,SNOW DP,,20181021,-1,,INCHES
TUM,D,18,SNOW DP,,20181022,-0,,INCHES
TUM,D,18,SNOW DP,,20181023,-0,,INCHES
TUM,D,18,SNOW DP,,20181024,-0,,INCHES
TUM,D,18,SNOW DP,,20181025,-0,,INCHES
TUM,D,18,SNOW DP,,20181026,-0,,INCHES
TUM,D,18,SNOW DP,,20181027,1,,INCHES
TUM,D,18,SNOW DP,,20181028,1,,INCHES
TUM,D,18,SNOW DP,,20181029,-1,,INCHES
TUM,D,18,SNOW DP,,20181030,-0,,INCHES
TUM,D,18,SNOW DP,,20181031,1,,INCHES
TUM,D,18,SNOW DP,,20181101,0,,INCHES
TUM,D,18,SNOW DP,,20181102,0,,INCHES
TUM,D,18,SNOW DP,,20181103,0,,INCHES
TUM,D,18,SNOW DP,,20181104,0,,INCHES
TUM,D,18,SNOW DP,,20181105,-0,,INCHES
TUM,D,18,SNOW DP,,20181106,0,,INCHES
TUM,D,18,SNOW DP,,20181107,0,,INCHES
TUM,D,18,SNOW DP,,20181108,0,,INCHES
TUM,D,18,SNOW DP,,20181109,0,,INCHES
TUM,D,18,SNOW DP,,20181110,-0,,INCHES
TUM,D,18,SNOW DP,,20181111,0,,INCHES
TUM,D,18,SNOW DP,,20181112,0,,INCHES
TUM,D,18,SNOW DP,,20181113,0,,INCHES
TUM,D,18,SNOW DP,,20181114,1,,INCHES
TUM,D,18,SNOW DP,,20181115,0,,INCHES
TUM,D,18,SNOW DP,,20181116,-0,,INCHES
TUM,D,18,SNOW DP,,20181117,-0,,INCHES
